"County","month","year","spi1"
"Polk ",7,1998,0.0146514028310776
"Red Willow ",7,1998,1.1919252872467
"Richardson ",7,1998,0.851998329162598
"Rock ",7,1998,0.524749577045441
"Saline ",7,1998,1.0395519733429
"Sarpy ",7,1998,1.30825746059418
"Saunders ",7,1998,0.932335317134857
"Scotts Bluff ",7,1998,1.4376528263092
"Seward ",7,1998,0.400892823934555
"Sheridan ",7,1998,1.19401752948761
"Sherman ",7,1998,0.858378231525421
"Sioux ",7,1998,1.2842173576355
"Stanton ",7,1998,0.730340540409088
"Thayer ",7,1998,1.29907405376434
"Thomas ",7,1998,0.383133739233017
"Thurston ",7,1998,0.177277565002441
"Valley ",7,1998,0.634121656417847
"Washington ",7,1998,1.44652616977692
"Wayne ",7,1998,0.101575873792171
"Webster ",7,1998,1.59100186824799
"Wheeler ",7,1998,0.480800986289978
"York ",7,1998,0.475248575210571
"Adams ",8,1998,-0.433576792478561
"Antelope ",8,1998,0.989873290061951
"Arthur ",8,1998,0.106665231287479
"Banner ",8,1998,0.161367729306221
"Blaine ",8,1998,0.0216956753283739
"Boone ",8,1998,0.605540871620178
"Box Butte ",8,1998,0.805212080478668
"Boyd ",8,1998,0.369263052940369
"Brown ",8,1998,0.0207561515271664
"Buffalo ",8,1998,-0.673624455928802
"Burt ",8,1998,0.775799453258514
"Butler ",8,1998,0.622296631336212
"Cass ",8,1998,0.298885732889175
"Cedar ",8,1998,0.84788966178894
"Chase ",8,1998,0.262436658143997
"Cherry ",8,1998,0.241129621863365
"Cheyenne ",8,1998,-0.092766210436821
"Clay ",8,1998,-0.346184402704239
"Colfax ",8,1998,1.0634640455246
"Cuming ",8,1998,1.24999129772186
"Custer ",8,1998,-0.459833085536957
"Dakota ",8,1998,0.952044129371643
"Dawes ",8,1998,1.01462960243225
"Dawson ",8,1998,-0.910305738449097
"Deuel ",8,1998,0.0425324998795986
"Dixon ",8,1998,1.02781081199646
"Dodge ",8,1998,0.817850112915039
"Douglas ",8,1998,0.528139472007751
"Dundy ",8,1998,0.311152189970016
"Fillmore ",8,1998,-0.411735504865646
"Franklin ",8,1998,-0.733049094676971
"Frontier ",8,1998,-0.761489272117615
"Furnas ",8,1998,-1.00858628749847
